2019-03-05,2.83,3.5,5.0,3.73,3.65,1.8,3.2,2.27,4.87,3.715
2019-03-06,4.87,4.67,8.9,4.23,8.13,3.37,5.05,3.27,7.17,4.77
2019-03-07,21.5,16.57,29.5,13.8,26.53,22.07,15.88,19.05,,26.700000000000003
2019-03-08,5.6475,5.63,8.2,5.7,7.57,5.715,5.53,4.97,,7.83
2019-03-09,4.8,4.35,8.2,4.17,6.87,3.33,3.97,3.815,7.0,5.734999999999999
2019-03-10,1.83,2.65,3.27,1.63,2.67,1.13,2.0,1.725,4.47,2.3
2019-03-11,2.9,3.85,5.0,3.0,3.43,1.43,3.315,2.2,8.23,3.07
2019-03-12,5.05,4.6850000000000005,7.135,3.9,6.17,1.6,3.22,2.785,7.465,2.77
2019-03-13,10.03,,13.8,6.07,10.85,9.03,7.05,7.515000000000001,,10.6
2019-03-14,13.0,11.2,20.33,8.63,16.9,10.4,10.5,12.93,,15.43
2019-03-15,3.95,3.4,9.8,2.33,6.967499999999999,5.83,3.8600000000000003,2.27,7.75,3.23
2019-03-16,2.5,2.7,5.4,1.83,3.47,1.13,2.65,2.2,4.7,3.1
2019-03-17,3.57,3.1,5.67,2.93,4.9,3.785,3.25,2.63,5.13,4.23
2019-03-18,2.45,2.4850000000000003,4.46,2.115,3.77,2.415,2.57,1.85,4.1,2.9
2019-03-19,2.4,3.47,4.9399999999999995,3.0149999999999997,3.9,2.13,3.5,2.3,6.58,2.73
2019-03-20,3.47,4.1,6.0,3.33,5.4,2.53,3.53,3.13,6.77,3.7
2019-03-21,5.9350000000000005,5.83,8.2,4.8,7.7,4.27,5.3,4.47,9.88,6.3
2019-03-22,6.5600000000000005,5.83,8.53,4.53,7.4,3.715,5.4,4.115,8.95,5.23
2019-03-23,7.8675,8.2,11.87,6.33,10.17,4.415,6.585,6.83,12.215,8.315000000000001
2019-03-24,5.484999999999999,4.215,7.53,4.415,6.83,2.93,4.085,3.8,8.43,4.73
2019-03-25,5.4,3.2,9.67,5.8,8.27,3.5,6.12,4.915,10.215,4.47
2019-03-26,4.085,2.3,7.13,5.2,5.550000000000001,2.37,4.35,3.08,8.33,2.87
2019-03-27,7.915,2.87,9.23,4.87,8.315000000000001,3.215,4.93,4.53,11.325,3.37
2019-03-28,6.6,2.5,6.17,3.9,5.83,2.03,2.57,4.33,7.22,2.7
2019-03-29,12.67,10.6,14.87,7.5,13.27,5.65,8.315000000000001,8.015,14.95,9.399999999999999
2019-03-30,14.17,11.03,16.93,8.73,14.815000000000001,8.399999999999999,10.03,10.73,15.4,10.23
2019-03-31,1.23,2.2,2.9,1.55,2.37,0.8,1.9,1.3,4.015000000000001,1.3
2019-04-01,2.77,2.87,6.9,2.27,5.449999999999999,0.97,1.95,1.85,4.75,1.67
2019-04-02,8.1,3.97,7.085,4.33,6.385,2.6,4.13,3.16,5.885,3.33
2019-04-03,18.93,9.9,15.4,8.57,14.965,7.9,10.6,10.1,12.1,11.100000000000001
2019-04-04,21.47,12.05,18.87,10.93,18.7,10.37,13.0,13.23,15.53,14.47
2019-04-05,17.27,12.47,19.77,12.13,18.03,11.33,12.885,14.315000000000001,16.17,15.03
2019-04-06,22.9,14.03,22.62,13.6,22.07,12.85,15.8,16.77,18.63,18.87
2019-04-07,6.765000000000001,7.13,10.615,6.4,9.115,5.37,8.07,,11.165,8.350000000000001
2019-04-08,2.9,3.2,5.43,3.27,3.53,2.1,4.16,2.6,5.83,3.315
2019-04-09,2.53,3.17,4.7,3.13,3.07,1.67,3.535,,5.3,2.8
2019-04-10,3.07,3.13,4.87,3.57,3.6,2.43,3.47,2.77,5.6,3.25
2019-04-11,2.83,2.9,5.57,5.4,4.449999999999999,2.0,3.22,2.7,5.27,3.07
2019-04-12,2.43,2.43,4.775,4.75,4.47,1.23,2.55,1.9,3.47,2.2
2019-04-13,1.815,1.7,3.025,2.27,2.73,0.8,2.01,1.4,,1.4
