,7597,12129,14133,12141,16147,12393,19788,17650,18820,10823,18828,7426,22082,19778,19597,20259
2019-02-18,26.67,22.0,34.97,18.0,28.37,22.285,17.5,24.015,35.93,23.735,28.935000000000002,31.13,,31.77,30.33,24.77
2019-02-19,22.58,17.53,26.064999999999998,16.485,23.17,17.87,18.4,23.6,27.65,20.73,26.93,22.92,,25.53,21.7,19.23
2019-02-20,4.3149999999999995,5.63,6.8,5.17,5.2,4.87,2.47,3.6,9.535,5.63,4.25,5.484999999999999,,3.83,3.27,6.57
2019-02-21,4.885,3.3,6.595000000000001,4.37,6.65,3.22,2.0,2.83,4.27,3.37,3.315,4.77,,2.43,3.0149999999999997,3.57
2019-02-22,9.780000000000001,5.8,10.72,5.53,10.03,3.72,1.87,3.13,8.835,4.67,3.0,7.6,,4.8,3.7,4.5
2019-02-23,8.8,7.77,14.1,,9.350000000000001,8.59,4.73,7.88,12.684999999999999,8.415,7.17,10.2,,10.8,,8.63
2019-02-24,14.215,12.8,22.47,10.27,17.5,13.5,9.035,12.965,20.15,13.17,12.57,18.83,,17.935000000000002,,
2019-02-25,5.5,8.35,9.315000000000001,5.0,7.53,6.4,4.2,4.71,14.58,6.63,4.83,7.37,7.8,7.87,,7.43
2019-02-26,8.57,7.984999999999999,12.18,7.95,9.6,8.1,4.93,6.4,17.740000000000002,7.9,5.63,8.9,9.3,9.205,,10.085
2019-02-27,9.2,11.2,15.17,7.9,13.63,7.77,5.9,7.58,19.200000000000003,9.0,7.285,13.07,11.23,11.77,,10.335
2019-02-28,2.97,3.93,5.3,3.9,3.9,3.77,1.5,3.17,8.315000000000001,4.1,2.6,3.7,4.3,2.67,2.63,4.53
2019-03-01,4.33,4.1850000000000005,7.35,4.83,6.17,3.47,1.9,3.0149999999999997,8.27,4.13,3.2,5.4,4.47,,3.2,
2019-03-02,3.6,5.43,6.33,3.27,5.5,2.9,1.33,2.77,7.53,3.33,3.0,6.35,4.5,,3.0,3.77
2019-03-03,2.97,3.3,5.385,2.57,4.27,2.6,2.47,2.1,5.33,3.5,3.3,5.13,5.57,3.2,4.6850000000000005,2.8
2019-03-04,3.33,3.4,8.74,2.5,6.13,3.17,2.97,2.27,6.6,3.85,3.67,7.515000000000001,6.97,5.22,5.83,
2019-03-05,2.83,3.5,5.0,3.73,3.65,3.2,1.8,2.27,4.87,3.73,3.715,4.33,4.67,3.3,3.0,4.615
2019-03-06,4.87,4.67,8.9,4.23,8.13,5.05,3.37,3.27,7.17,6.6,4.77,6.33,8.27,6.4,5.1850000000000005,6.1
2019-03-07,21.5,16.57,29.5,13.8,26.53,15.88,22.07,19.05,,21.63,26.700000000000003,32.4,35.150000000000006,30.83,29.03,24.97
2019-03-08,5.6475,5.63,8.2,5.7,7.57,5.53,5.715,4.97,,6.97,7.83,8.15,10.13,9.635,7.8149999999999995,8.015
2019-03-09,4.8,4.35,8.2,4.17,6.87,3.97,3.33,3.815,7.0,5.5,5.734999999999999,5.43,7.47,,5.07,5.2
2019-03-10,1.83,2.65,3.27,1.63,2.67,2.0,1.13,1.725,4.47,2.57,2.3,2.57,3.0,2.43,1.7,2.27
2019-03-11,2.9,3.85,5.0,3.0,3.43,3.315,1.43,2.2,8.23,3.8,3.07,3.53,4.37,3.17,2.37,
2019-03-12,5.05,4.6850000000000005,7.135,3.9,6.17,3.22,1.6,2.785,7.465,3.9,2.77,4.885,5.285,3.97,3.23,4.8
2019-03-13,10.03,,13.8,6.07,10.85,7.05,9.03,7.515000000000001,,9.17,10.6,18.585,12.9,14.535,10.07,
2019-03-14,13.0,11.2,20.33,8.63,16.9,10.5,10.4,12.93,,13.83,15.43,24.97,22.73,19.43,16.4,14.43
2019-03-15,3.95,3.4,9.8,2.33,6.967499999999999,3.8600000000000003,5.83,2.27,7.75,5.15,3.23,7.8,5.5,5.08,4.3,5.13
2019-03-16,2.5,2.7,5.4,1.83,3.47,2.65,1.13,2.2,4.7,2.77,3.1,4.865,4.6850000000000005,3.685,3.1,3.8
